,latitude,longitude,year,predsoc,bushland,cropland,forest,grassland,mangrove,other,shrubland,thicket,wooded_grassland,woodland
181,-2.657890347,33.51124743,2021,3.5188,0,1,0,0,0,0,0,0,0,0
182,-2.651422477,33.51151693,2021,5.9783,0,1,0,0,0,0,0,0,0,0
183,-2.651961466,33.50531855,2021,3.4304,0,1,0,0,0,0,0,0,0,0
184,-2.653308939,33.50531855,2021,5.4092,0,1,0,0,0,0,0,0,0,0
185,-2.658429336,33.5080135,2021,5.1497,0,1,0,0,0,0,0,0,0,0
186,-2.657081863,33.51124743,2021,5.8293,0,1,0,0,0,0,0,0,0,0
187,-2.651961466,33.51016945,2021,7.2618,0,1,0,0,0,0,0,0,0,0
188,-2.634444318,33.52148823,2021,13.8362,0,1,0,0,0,0,0,0,0,0
189,-2.630940888,33.5228357,2021,7.1314,0,1,0,0,0,0,0,0,0,0
190,-2.627437459,33.51582884,2021,4.9338,0,1,0,0,0,0,0,0,0,0
191,-2.629054426,33.51528985,2021,4.2494,0,1,0,0,0,0,0,0,0,0
192,-2.634444318,33.51367288,2021,4.4302,0,1,0,0,0,0,0,0,0,0
193,-2.634444318,33.5228357,2021,5.3062,0,1,0,0,0,0,0,0,0,0
194,-2.63633078,33.52041025,2021,4.5905,0,1,0,0,0,0,0,0,0,0
195,-2.636600275,33.51394238,2021,7.2352,0,1,0,0,0,0,0,0,0,0
196,-2.632018867,33.52014075,2021,4.088,0,1,0,0,0,0,0,0,0,0
197,-2.691038181,33.54439527,2021,9.4056,0,1,0,0,0,0,0,0,0,0
198,-2.695350094,33.53927487,2021,5.3901,0,1,0,0,0,0,0,0,0,0
199,-2.692385654,33.53711891,2021,9.2689,0,1,0,0,0,0,0,0,0,0
200,-2.694002621,33.54008335,2021,7.7216,0,1,0,0,0,0,0,0,0,0
201,-2.696158578,33.53711891,2021,12.5656,0,1,0,0,0,0,0,0,0,0
202,-2.69454161,33.54089184,2021,4.9076,0,1,0,0,0,0,0,0,0,0
203,-2.695619589,33.54493426,2021,11.3473,0,1,0,0,0,0,0,0,0,0
204,-2.693463632,33.5425088,2021,12.9141,0,1,0,0,0,0,0,0,0,0
205,-2.693194138,33.54385628,2021,8.2286,0,1,0,0,0,0,0,0,0,0
206,-2.691038181,33.54358678,2021,8.1866,0,1,0,0,0,0,0,0,0,0
207,-2.696967062,33.53631043,2021,7.174,0,1,0,0,0,0,0,0,0,0
208,-2.670017603,33.54628173,2021,9.7015,0,1,0,0,0,0,0,0,0,0
209,-2.676485473,33.54196981,2021,4.4676,0,1,0,0,0,0,0,0,0,0
210,-2.676215979,33.5379274,2021,12.26,0,1,0,0,0,0,0,0,0,0
211,-2.671095582,33.53981386,2021,7.153,0,1,0,0,0,0,0,0,0,0
212,-2.675138,33.5427783,2021,7.8709,0,1,0,0,0,0,0,0,0,0
213,-2.67864143,33.5427783,2021,10.5006,0,0,0,1,0,0,0,0,0,0
214,-2.675138,33.5376579,2021,16.4267,0,0,0,1,0,0,0,0,0,0
215,-2.672982044,33.54601223,2021,11.1707,0,1,0,0,0,0,0,0,0,0
216,-2.677832946,33.53846639,2021,8.3281,0,1,0,0,0,0,0,0,0,0
217,-2.668400636,33.54520375,2021,11.966,0,1,0,0,0,0,0,0,0,0
218,-2.654117423,33.53469346,2021,8.8744,0,1,0,0,0,0,0,0,0,0
219,-2.656812369,33.53523245,2021,6.8079,0,1,0,0,0,0,0,0,0,0
220,-2.653039444,33.53738841,2021,16.9774,0,1,0,0,0,0,0,0,0,0
221,-2.656003885,33.53738841,2021,8.7046,0,1,0,0,0,0,0,0,0,0
222,-2.649805509,33.53469346,2021,4.0491,0,1,0,0,0,0,0,0,0,0
223,-2.64926652,33.5379274,2021,8.6533,0,1,0,0,0,0,0,0,0,0
224,-2.653308939,33.53577144,2021,8.4898,0,0,0,1,0,0,0,0,0,0
225,-2.650613993,33.53684942,2021,8.7802,0,1,0,0,0,0,0,0,0,0
226,-2.654386917,33.53873588,2021,17.0274,0,1,0,0,0,0,0,0,0,0
227,-2.618274643,33.54385628,2021,8.5617,0,1,0,0,0,0,0,0,0,0
228,-2.622317062,33.54655122,2021,8.427,0,1,0,0,0,0,0,0,0,0
229,-2.6204306,33.54358678,2021,4.6587,0,1,0,0,0,0,0,0,0,0
230,-2.62339504,33.54709021,2021,3.6243,0,1,0,0,0,0,0,0,0,0
231,-2.618274643,33.54709021,2021,10.6662,0,1,0,0,0,0,0,0,0,0
232,-2.6204306,33.54466476,2021,5.848,0,1,0,0,0,0,0,0,0,0
233,-2.624742513,33.53981386,2021,3.9663,0,1,0,0,0,0,0,0,0,0
234,-2.619622116,33.54331729,2021,6.0953,0,1,0,0,0,0,0,0,0,0
235,-2.623125545,33.53846639,2021,5.4766,0,1,0,0,0,0,0,0,0,0
236,-2.625550997,33.54520375,2021,6.1784,0,1,0,0,0,0,0,0,0,0
237,-2.689690708,33.47244021,2021,8.2829,0,1,0,0,0,0,0,0,0,0
238,-2.690499192,33.47917758,2021,6.4156,0,1,0,0,0,0,0,0,0,0
239,-2.69157717,33.47217072,2021,3.9193,0,1,0,0,0,0,0,0,0,0
240,-2.696158578,33.47836909,2021,5.1134,0,1,0,0,0,0,0,0,0,0
241,-2.696428073,33.47890808,2021,12.1169,0,1,0,0,0,0,0,0,0,0
242,-2.688882224,33.4732487,2021,7.3249,0,0,0,1,0,0,0,0,0,0
243,-2.696428073,33.47944707,2021,4.452,0,1,0,0,0,0,0,0,0,0
244,-2.690768686,33.4778301,2021,4.9045,0,1,0,0,0,0,0,0,0,0
245,-2.688882224,33.47675213,2021,4.7038,0,1,0,0,0,0,0,0,0,0
246,-2.693194138,33.47944707,2021,5.119,0,1,0,0,0,0,0,0,0,0
247,-2.674329517,33.47486566,2021,5.7872,0,1,0,0,0,0,0,0,0,0
