longitude,latitude,year,SOC,LC
37.58142415,0.728578611,2021,2.57125,shrubland
37.57980719,0.73262103,2021,2.7141,woodland
37.57980719,0.73262103,2021,7.7608,woodland
37.58061567,0.724536192,2021,2.8217,shrubland
37.58061567,0.724536192,2021,2.62385,shrubland
37.58142415,0.726961644,2021,4.3901,shrubland
37.58142415,0.726961644,2021,2.9199,shrubland
37.58223264,0.723997203,2021,2.8358,bushland
37.58223264,0.723997203,2021,2.50825,bushland
37.58304112,0.728578611,2021,2.7382,shrubland
37.58304112,0.728578611,2021,2.51765,shrubland
37.57630376,0.754180597,2021,2.9186,shrubland
37.57630376,0.750138178,2021,4.2487,bushland
37.57630376,0.750138178,2021,2.87005,bushland
37.57684275,0.75202464,2021,2.9764,bushland
37.57684275,0.75202464,2021,3.7955,bushland
37.59678534,0.672793232,2021,14.8911,shrubland
37.59678534,0.672793232,2021,14.3068,shrubland
37.59570737,0.670098286,2021,13.8088,shrubland
37.59516838,0.669020308,2021,3.0388,bushland
37.59516838,0.669020308,2021,4.3687,bushland
37.60217524,0.667672835,2021,6.4137,shrubland
37.60217524,0.667672835,2021,5.3288,shrubland
37.60756513,0.690040885,2021,5.0075,shrubland
37.60756513,0.690040885,2021,4.15325,shrubland
37.60729563,0.689232402,2021,6.1609,shrubland
37.60729563,0.689232402,2021,4.39225,shrubland
37.60567867,0.729387095,2021,7.6223,shrubland
37.60567867,0.729387095,2021,6.785,shrubland
37.60540917,0.7291176,2021,7.6223,shrubland
37.60540917,0.7291176,2021,6.785,shrubland
37.60190574,0.724266698,2021,8.0318,shrubland
37.60190574,0.724266698,2021,7.2307,shrubland
37.59974978,0.722380236,2021,5.5533,bushland
37.59974978,0.722380236,2021,2.96825,bushland
37.60028877,0.72264973,2021,5.5533,bushland
37.60028877,0.72264973,2021,2.96825,bushland
37.60567867,0.726961644,2021,13.6994,shrubland
37.60567867,0.726961644,2021,7.9277,shrubland
37.60082776,0.721571752,2021,5.2811,bushland
37.60082776,0.721571752,2021,3.44145,bushland
37.60109726,0.721571752,2021,5.2811,bushland
37.60109726,0.721571752,2021,3.44145,bushland
37.60621765,0.728848106,2021,7.473,bushland
37.60621765,0.728848106,2021,6.7803,bushland
37.60648715,0.728848106,2021,7.473,bushland
37.60648715,0.728848106,2021,6.7803,bushland
37.60567867,0.752563629,2021,4.1246,bushland
37.60567867,0.752833124,2021,4.1246,bushland
37.5992108,0.749868683,2021,12.4596,shrubland
37.5992108,0.749868683,2021,8.3387,shrubland
37.6037922,0.753641608,2021,3.2136,bushland
37.6037922,0.753641608,2021,3.51705,bushland
37.6040617,0.751216156,2021,3.8183,shrubland
37.6040617,0.751216156,2021,4.3956,shrubland
37.60244473,0.749868683,2021,12.4737,shrubland
37.60244473,0.749868683,2021,7.7119,shrubland
37.60433119,0.747982221,2021,21.1047,shrubland
37.60433119,0.747982221,2021,5.57665,shrubland
37.5291422,0.673332221,2021,5.3569,bushland
37.5291422,0.673332221,2021,3.29795,bushland
37.52806423,0.677913629,2021,3.3375,bushland
37.52806423,0.677913629,2021,3.3578,bushland
37.53291513,0.677913629,2021,2.9932,bushland
37.52968119,0.671984748,2021,6.5981,bushland
37.52968119,0.671984748,2021,6.5823,bushland
37.53022018,0.678991608,2021,3.0509,bushland
37.53022018,0.678991608,2021,2.55595,bushland
37.53048968,0.673062727,2021,7.3059,bushland
37.53048968,0.673062727,2021,10.7334,bushland
37.53237614,0.676566156,2021,3.4882,shrubland
37.53237614,0.676566156,2021,3.08135,shrubland
37.53022018,0.680069586,2021,3.6609,bushland
37.53022018,0.680069586,2021,3.4191,bushland
37.53210664,0.673062727,2021,12.8659,bushland
37.53210664,0.673062727,2021,14.8088,bushland
37.53183715,0.673062727,2021,12.8659,bushland
37.53183715,0.673062727,2021,14.8088,bushland
37.52806423,0.675757672,2021,3.8204,bushland
37.52806423,0.675757672,2021,3.24115,bushland
37.51755394,0.69677825,2021,3.7279,shrubland
37.51755394,0.69677825,2021,4.7101,shrubland
37.52375231,0.695161283,2021,5.7628,shrubland
37.52375231,0.695161283,2021,4.632333333,shrubland
37.52483029,0.704863088,2021,1.8516,shrubland
37.52483029,0.704863088,2021,3.1862,shrubland
37.52321332,0.701898647,2021,4.1866,shrubland
37.52321332,0.701898647,2021,3.20485,shrubland
37.5245608,0.701359658,2021,6.086,shrubland
37.5245608,0.701359658,2021,4.133,shrubland
37.51890141,0.702168142,2021,8.6098,shrubland
37.51890141,0.702168142,2021,7.863333333,shrubland
37.5194404,0.702976626,2021,3.55,shrubland
37.5194404,0.702976626,2021,7.4326,shrubland
37.51809293,0.703785109,2021,10.9673,bushland
37.51809293,0.703785109,2021,8.2449,bushland
37.52240484,0.699742691,2021,2.5537,shrubland
37.52240484,0.699742691,2021,5.52425,shrubland
37.5345321,0.73262103,2021,2.3864,bushland
37.5345321,0.73262103,2021,3.41315,bushland
37.5342626,0.735046481,2021,2.72435,shrubland
37.53210664,0.732082041,2021,3.5188,bushland
37.53210664,0.732082041,2021,2.65645,bushland
37.53210664,0.731812546,2021,3.5188,bushland
37.53210664,0.731812546,2021,2.65645,bushland
37.53507108,0.731812546,2021,4.1796,shrubland
37.53507108,0.731812546,2021,3.20285,shrubland
37.53507108,0.731543052,2021,4.1796,shrubland
37.53507108,0.731543052,2021,3.20285,shrubland
37.53237614,0.731273557,2021,2.5877,bushland
37.53237614,0.731273557,2021,3.3514,bushland
37.539383,0.730195579,2021,2.6371,bushland
37.539383,0.730195579,2021,2.573,bushland
37.5345321,0.728039622,2021,2.6489,woodland
37.5345321,0.728039622,2021,3.96875,woodland
37.53156765,0.733160019,2021,2.578,bushland
37.53156765,0.733160019,2021,2.5812,bushland
37.53480159,0.734507492,2021,2.7051,bushland
37.53480159,0.734507492,2021,2.6403,bushland
37.53830502,0.727231138,2021,4.2341,bushland
37.53830502,0.727231138,2021,2.9824,bushland
37.52887271,0.754719586,2021,3.3964,bushland
37.52590827,0.750946662,2021,4.5083,bushland
37.52590827,0.750946662,2021,3.79145,bushland
37.53291513,0.748251716,2021,2.4861,bushland
37.53291513,0.748251716,2021,2.8141,bushland
37.53075917,0.756067059,2021,6.4018,shrubland
37.53075917,0.756067059,2021,4.835,shrubland
37.52483029,0.750407673,2021,2.9711,bushland
37.52483029,0.750407673,2021,3.91175,bushland
37.52590827,0.753641608,2021,2.953,shrubland
37.52590827,0.753641608,2021,4.0549,shrubland
37.52590827,0.749599189,2021,4.9676,bushland
37.52590827,0.749599189,2021,4.6779,bushland
37.53399311,0.752833124,2021,3.2333,shrubland
37.53399311,0.752833124,2021,2.93145,shrubland
37.52536928,0.750946662,2021,2.7473,bushland
37.52536928,0.750946662,2021,4.2413,bushland
37.53156765,0.746904243,2021,3.3472,shrubland
37.53156765,0.746904243,2021,3.48125,shrubland
37.55339672,0.664169405,2021,5.0574,shrubland
37.55339672,0.664169405,2021,5.1886,shrubland
37.5490848,0.666864351,2021,3.5972,bushland
37.5490848,0.669020308,2021,3.5422,shrubland
37.5490848,0.669020308,2021,3.4179,shrubland
37.5493543,0.707288539,2021,6.1607,bushland
37.55474419,0.708905506,2021,9.8927,bushland
37.55474419,0.708905506,2021,6.2791,bushland
37.55582217,0.704054604,2021,2.5762,bushland
37.55582217,0.704054604,2021,2.95455,bushland
37.55609166,0.701629153,2021,2.5762,bushland
37.55609166,0.701629153,2021,2.95455,bushland
37.55501368,0.708366517,2021,3.0736,bushland
37.55474419,0.708366517,2021,3.0736,bushland
37.55366621,0.704863088,2021,3.04865,bushland
37.55609166,0.707288539,2021,3.4334,bushland
37.55609166,0.707288539,2021,3.0814,bushland
37.55285773,0.704863088,2021,2.6416,shrubland
37.55285773,0.704863088,2021,2.66535,shrubland
37.55339672,0.708366517,2021,3.1234,shrubland
37.55339672,0.708366517,2021,2.9869,shrubland
37.55312722,0.705671571,2021,2.7597,bushland
37.55312722,0.705671571,2021,2.72505,bushland
37.55285773,0.705671571,2021,2.7597,bushland
37.55285773,0.705671571,2021,2.72505,bushland
37.5493543,0.704863088,2021,8.6913,shrubland
