longitude,latitude,year,LC,siteid,site,SOC
35.17726296,1.433037457,2021,wooded_grassland,chepareria_8_9,chepareria,7.6186
35.19208516,1.365663811,2021,bushland,chepareria_9_1,chepareria,10.96055
35.19208516,1.364585832,2021,wooded_grassland,chepareria_9_10,chepareria,7.61435
35.19343263,1.364046843,2021,wooded_grassland,chepareria_9_15,chepareria,5.6161
35.18939021,1.364585832,2021,wooded_grassland,chepareria_9_3,chepareria,8.5425
35.1901987,1.361890886,2021,wooded_grassland,chepareria_9_4,chepareria,5.6681
35.19424112,1.369436735,2021,wooded_grassland,chepareria_9_5,chepareria,5.6106
35.19181567,1.364046843,2021,wooded_grassland,chepareria_9_6,chepareria,7.67075
35.18723426,1.365663811,2021,wooded_grassland,chepareria_9_7,chepareria,7.93805
35.19666657,1.363507854,2021,cropland,chepareria_9_8,chepareria,6.96165
33.51879328,-2.676485473,2021,cropland,iseni_10_10,iseni,7.3325
33.51313389,-2.673790527,2021,cropland,iseni_10_11,iseni,9.154
33.51717631,-2.674329517,2021,cropland,iseni_10_12,iseni,9.857
33.5179848,-2.674868506,2021,grassland,iseni_10_2,iseni,10.7791
33.51475086,-2.673251538,2021,cropland,iseni_10_3,iseni,6.4788
33.51313389,-2.650613993,2021,cropland,iseni_11_1,iseni,5.227
33.51178642,-2.660046304,2021,cropland,iseni_11_10,iseni,11.0908
33.50720501,-2.652500455,2021,cropland,iseni_11_12,iseni,5.6582
33.51124743,-2.657890347,2021,cropland,iseni_11_13,iseni,3.5188
33.51151693,-2.651422477,2021,cropland,iseni_11_14,iseni,5.9783
33.50531855,-2.651961466,2021,cropland,iseni_11_3,iseni,3.4304
33.50531855,-2.653308939,2021,cropland,iseni_11_5,iseni,5.4092
33.5080135,-2.658429336,2021,cropland,iseni_11_6,iseni,5.1497
33.51124743,-2.657081863,2021,cropland,iseni_11_7,iseni,5.8293
33.51016945,-2.651961466,2021,cropland,iseni_11_8,iseni,7.2618
33.52148823,-2.634444318,2021,cropland,iseni_12_11,iseni,13.8362
33.5228357,-2.630940888,2021,cropland,iseni_12_12,iseni,7.1314
33.51582884,-2.627437459,2021,cropland,iseni_12_13,iseni,4.9338
33.51528985,-2.629054426,2021,cropland,iseni_12_14,iseni,4.2494
33.51367288,-2.634444318,2021,cropland,iseni_12_15,iseni,4.4302
33.5228357,-2.634444318,2021,cropland,iseni_12_4,iseni,5.3062
33.52041025,-2.63633078,2021,cropland,iseni_12_5,iseni,4.5905
33.51394238,-2.636600275,2021,cropland,iseni_12_7,iseni,7.2352
33.52014075,-2.632018867,2021,cropland,iseni_12_8,iseni,4.088
33.53711891,-2.696158578,2021,cropland,iseni_13_14,iseni,12.5656
33.53631043,-2.696967062,2021,cropland,iseni_13_9,iseni,7.174
33.54196981,-2.676485473,2021,cropland,iseni_14_11,iseni,4.4676
33.5379274,-2.676215979,2021,cropland,iseni_14_12,iseni,12.26
33.5427783,-2.67864143,2021,grassland,iseni_14_3,iseni,10.5006
33.5376579,-2.675138,2021,grassland,iseni_14_4,iseni,16.4267
33.53846639,-2.677832946,2021,cropland,iseni_14_6,iseni,8.3281
33.53469346,-2.654117423,2021,cropland,iseni_15_1,iseni,8.8744
33.53523245,-2.656812369,2021,cropland,iseni_15_11,iseni,6.8079
33.53738841,-2.653039444,2021,cropland,iseni_15_14,iseni,16.9774
33.53738841,-2.656003885,2021,cropland,iseni_15_4,iseni,8.7046
33.53469346,-2.649805509,2021,cropland,iseni_15_5,iseni,4.0491
33.5379274,-2.64926652,2021,cropland,iseni_15_6,iseni,8.6533
33.53577144,-2.653308939,2021,grassland,iseni_15_7,iseni,8.4898
33.53684942,-2.650613993,2021,cropland,iseni_15_8,iseni,8.7802
33.53873588,-2.654386917,2021,cropland,iseni_15_9,iseni,17.0274
33.54385628,-2.618274643,2021,cropland,iseni_16_1,iseni,8.5617
33.54655122,-2.622317062,2021,cropland,iseni_16_10,iseni,8.427
33.54358678,-2.6204306,2021,cropland,iseni_16_13,iseni,4.6587
33.54709021,-2.62339504,2021,cropland,iseni_16_14,iseni,3.6243
33.54709021,-2.618274643,2021,cropland,iseni_16_2,iseni,10.6662
33.54466476,-2.6204306,2021,cropland,iseni_16_3,iseni,5.848
33.53981386,-2.624742513,2021,cropland,iseni_16_4,iseni,3.9663
33.54331729,-2.619622116,2021,cropland,iseni_16_5,iseni,6.0953
33.53846639,-2.623125545,2021,cropland,iseni_16_8,iseni,5.4766
33.54520375,-2.625550997,2021,cropland,iseni_16_9,iseni,6.1784
33.47244021,-2.689690708,2021,cropland,iseni_1_1,iseni,8.2829
33.47917758,-2.690499192,2021,cropland,iseni_1_11,iseni,6.4156
33.47217072,-2.69157717,2021,cropland,iseni_1_12,iseni,3.9193
33.47836909,-2.696158578,2021,cropland,iseni_1_13,iseni,5.1134
33.47890808,-2.696428073,2021,cropland,iseni_1_14,iseni,12.1169
33.4732487,-2.688882224,2021,grassland,iseni_1_15,iseni,7.3249
33.47944707,-2.696428073,2021,cropland,iseni_1_2,iseni,4.452
33.4778301,-2.690768686,2021,cropland,iseni_1_3,iseni,4.9045
33.47675213,-2.688882224,2021,cropland,iseni_1_4,iseni,4.7038
33.47944707,-2.693194138,2021,cropland,iseni_1_9,iseni,5.119
33.47486566,-2.674329517,2021,cropland,iseni_2_1,iseni,5.7872
33.46920628,-2.673521033,2021,cropland,iseni_2_5,iseni,7.8176
33.46731981,-2.645224101,2021,cropland,iseni_3_1,iseni,5.5603
33.46731981,-2.642529156,2021,cropland,iseni_3_11,iseni,10.02
33.46839779,-2.646032585,2021,cropland,iseni_3_12,iseni,9.0538
33.46920628,-2.649805509,2021,cropland,iseni_3_13,iseni,4.9234
33.46570285,-2.644954607,2021,cropland,iseni_3_14,iseni,4.4554
33.46408588,-2.645493596,2021,cropland,iseni_3_15,iseni,13.6792
33.4681283,-2.649805509,2021,cropland,iseni_3_2,iseni,5.7101
33.47190122,-2.651422477,2021,cropland,iseni_3_3,iseni,10.2438
33.46489436,-2.642529156,2021,cropland,iseni_3_6,iseni,6.4116
33.47082324,-2.64926652,2021,cropland,iseni_3_9,iseni,6.381
33.47459617,-2.621508578,2021,cropland,iseni_4_1,iseni,7.2992
33.46920628,-2.625550997,2021,cropland,iseni_4_11,iseni,3.6798
33.4729792,-2.621508578,2021,cropland,iseni_4_12,iseni,5.6668
33.47270971,-2.628245943,2021,cropland,iseni_4_13,iseni,3.8271
33.47109274,-2.627167964,2021,cropland,iseni_4_14,iseni,4.4537
33.46947577,-2.629323921,2021,grassland,iseni_4_4,iseni,6.5503
33.4732487,-2.625281502,2021,cropland,iseni_4_6,iseni,6.6678
33.47378768,-2.622586556,2021,cropland,iseni_4_7,iseni,4.804
33.47001476,-2.62986291,2021,grassland,iseni_4_8,iseni,11.3655
33.47621314,-2.624203524,2021,cropland,iseni_4_9,iseni,4.3632
33.49669472,-2.689690708,2021,cropland,iseni_5_1,iseni,3.7202
33.49723371,-2.690499192,2021,grassland,iseni_5_11,iseni,10.0824
33.49723371,-2.686995762,2021,cropland,iseni_5_14,iseni,6.8117
33.49399978,-2.68861273,2021,cropland,iseni_5_5,iseni,9.1432
