longitude,latitude,year,LC,siteid,site,SOC,elev,slope,aspect,roughness,twi,SR_B2,SR_B3,SR_B4,SR_B5,SR_B6,SR_B7,EVI,VV,VH,VV/VH,prec,temp
32.97360573,-3.943379518,2021,shrubland,sigili_7_6,sigili,13.7053,1152,0.92961035539554,178.1346435546875,5.102042198181152,0.868003785610199,0.0066624999999999,0.0984025,0.12080125,0.323215,0.2448125,0.17591125,0.2539585247946749,0.060126581239749,0.0116258177068634,5.1718152439507525,12.051578521728516,15483.380952380952
32.97360573,-3.943379518,2021,shrubland,sigili_7_6,sigili,13.7053,1152,0.92961035539554,178.1346435546875,5.102042198181152,0.868003785610199,0.13457875,0.22340375,0.22057125,0.4552974999999999,0.32503,0.2599375,0.3352652288516463,0.1215916052281379,0.0328619316239525,3.700074804474119,19.096969604492188,15091.386666666667
32.97360573,-3.943379518,2021,shrubland,sigili_7_6,sigili,13.7053,1152,0.92961035539554,178.1346435546875,5.102042198181152,0.868003785610199,0.49678125,0.477215,0.491405,0.5438750000000001,0.41840625,0.310125,0.172843724621471,0.0561668091636412,0.0100014432728488,5.6158703930380325,9.856185913085938,15519.8547008547
37.56067307,0.75202464,2021,bushland,kalama_8_8,kalama,3.8323,934,2.9304511887799167,25.987869262695312,9.036721229553224,0.2197017669677734,0.0231899999999999,0.07567375,0.08039,0.22161625,0.17527875,0.12021,0.2090859653333246,0.1167425110171603,0.0320035453478628,3.647799321863452,14.176125526428224,15452.966666666667
37.56067307,0.75202464,2021,bushland,kalama_8_8,kalama,3.8323,934,2.9304511887799167,25.987869262695312,9.036721229553224,0.2197017669677734,0.06945875,0.122245,0.17269375,0.27691875,0.32256875,0.25230625,0.1453916683055411,0.100382437591467,0.0293701358897478,3.4178404202245227,5.722329139709473,15581.747572815531
37.56067307,0.75202464,2021,bushland,kalama_8_8,kalama,3.8323,934,2.9304511887799167,25.987869262695312,9.036721229553224,0.2197017669677734,0.0702424999999999,0.14155,0.205405,0.3121325,0.3441975,0.2642275,0.1127507875974134,0.0967328298415476,0.0321194639961628,3.0116576619430417,5.939682960510254,15634.039603960397
37.56067307,0.75202464,2021,bushland,kalama_8_8,kalama,3.8323,934,2.9304511887799167,25.987869262695312,9.036721229553224,0.2197017669677734,0.5303312499999999,0.52780125,0.55488875,0.5962075,0.50211625,0.3907825,0.1272694029905331,0.0992482879310464,0.0335494260030979,2.9582708187580304,6.445731163024902,15653.393258426966
31.3528653,-26.31762847,2020,cropland,ludzeludze_6_10,ludzeludze,14.72925,819,10.543552803658088,19.065597534179688,39.70685577392578,-2.117393016815185,0.7011200000000001,0.6414725,0.6342537500000001,0.65193625,0.3693875,0.23811625,0.2079660794759275,0.1113327372835696,0.0224947725582608,4.949271524983015,14.543204307556152,14933.05
31.3528653,-26.31762847,2020,cropland,ludzeludze_6_10,ludzeludze,14.72925,819,10.543552803658088,19.065597534179688,39.70685577392578,-2.117393016815185,0.0871825,0.1387725,0.15817375,0.3079112499999999,0.3087912499999999,0.219265,0.2417264903549113,0.082779218916828,0.0171699410067782,4.821170840607365,10.133782386779783,15174.659793814431
31.3528653,-26.31762847,2020,cropland,ludzeludze_6_10,ludzeludze,14.72925,819,10.543552803658088,19.065597534179688,39.70685577392578,-2.117393016815185,0.5375774999999999,0.5439987500000001,0.5513962499999999,0.66607125,0.4519424999999999,0.31959875,0.3137593768500868,0.1148618659367451,0.0255997198613268,4.486840737279534,11.945802688598633,14962.682352941176
31.3528653,-26.31762847,2020,cropland,ludzeludze_6_10,ludzeludze,14.72925,819,10.543552803658088,19.065597534179688,39.70685577392578,-2.117393016815185,0.33956375,0.3922675,0.4145975,0.51154875,0.487005,0.3909337499999999,0.1562507862586138,0.1164122599230476,0.019465147361907,5.980548606113517,12.21250820159912,15109.157303370786
34.29251223,0.20602861,2021,cropland,ugunja_3_2,ugunja,9.6489,1216,0.9274159365447414,226.263412475586,11.437084197998049,-1.0904992818832395,0.03203125,0.0971237499999999,0.0979624999999999,0.3875375,0.268105,0.19098125,0.4075412116799279,0.1475261134692617,0.0407245954337124,3.622531099403806,34.05568313598633,15082.394736842103
34.29251223,0.20602861,2021,cropland,ugunja_3_2,ugunja,9.6489,1216,0.9274159365447414,226.263412475586,11.437084197998049,-1.0904992818832395,0.0366924999999999,0.0843775,0.0709162499999999,0.40193375,0.2217812499999999,0.126095,0.5285041720660254,0.1571135950867357,0.0334065711030038,4.703074571835013,40.366336822509766,15088.382716049382
34.29251223,0.20602861,2021,cropland,ugunja_3_2,ugunja,9.6489,1216,0.9274159365447414,226.263412475586,11.437084197998049,-1.0904992818832395,0.24108625,0.24815375,0.23709875,0.4205375,0.24108625,0.15893,0.4378513040575453,0.1323790087121729,0.0308678431359167,4.2885733262698045,32.68231964111328,15141.044943820223
34.29251223,0.20602861,2021,cropland,ugunja_3_2,ugunja,9.6489,1216,0.9274159365447414,226.263412475586,11.437084197998049,-1.0904992818832395,0.178235,0.22332125,0.22262,0.4469512499999999,0.29908375,0.23773125,0.3070613547174947,0.1402352097199509,0.0321912184131736,4.356318792287845,21.85272979736328,15108.385542168677
34.29601566,0.213304964,2021,cropland,ugunja_3_10,ugunja,10.7836,1216,2.6215187563054467,228.1465301513672,8.659043312072754,2.13142991065979,0.0894099999999999,0.13737,0.1085225,0.4056325,0.2831475,0.2048275,0.4582468664397776,0.0935466505306294,0.0256253241962008,3.65055481110746,34.05568313598633,15081.592105263158
34.29601566,0.213304964,2021,cropland,ugunja_3_10,ugunja,10.7836,1216,2.6215187563054467,228.1465301513672,8.659043312072754,2.13142991065979,0.04937,0.1025,0.09902125,0.41370375,0.27147375,0.1559462499999999,0.4653801918876836,0.1043579714594302,0.0197516466496405,5.283507411334206,40.366336822509766,15090.58024691358
34.29601566,0.213304964,2021,cropland,ugunja_3_10,ugunja,10.7836,1216,2.6215187563054467,228.1465301513672,8.659043312072754,2.13142991065979,0.04519,0.1166349999999999,0.09931,0.3923224999999999,0.2126374999999999,0.1221625,0.3513144861406556,0.0772650264283955,0.0149856074455245,5.155948913600491,32.68231964111328,15152.64367816092
34.29601566,0.213304964,2021,cropland,ugunja_3_10,ugunja,10.7836,1216,2.6215187563054467,228.1465301513672,8.659043312072754,2.13142991065979,0.0780525,0.167345,0.1653649999999999,0.4364875,0.26761,0.186815,0.3677167175156837,0.078908544908031,0.0130324342990786,6.054781715923138,21.85272979736328,15107.238095238095
39.05690701,-0.155094134,2022,shrubland,mbalambala_13_9,mbalambala,6.19935,221,4.627384364918323,311.18658447265625,1.2307552099227903,1.333057522773743,0.2740175,0.3272025,0.3726875,0.483045,0.5029825000000001,0.39609,0.1166231076483055,0.0388593395804217,0.0112304301542126,3.4601826507816567,1.2958600521087646,15705.434782608696
39.05690701,-0.155094134,2022,shrubland,mbalambala_13_9,mbalambala,6.19935,221,4.627384364918323,311.18658447265625,1.2307552099227903,1.333057522773743,0.3467,0.34032,0.3693599999999999,0.464895,0.460715,0.34967,0.1370695369464348,0.0378222841549662,0.0104691104826454,3.6127505023147872,4.736798286437988,15728.830188679243
39.05690701,-0.155094134,2022,shrubland,mbalambala_13_9,mbalambala,6.19935,221,4.627384364918323,311.18658447265625,1.2307552099227903,1.333057522773743,0.267885,0.3039375,0.3428775,0.4605775,0.5006725000000001,0.37387,0.1259007561565913,0.0360279720918008,0.0113456688145003,3.175482440114511,1.1620112657546997,15651.177777777775
39.05690701,-0.155094134,2022,shrubland,mbalambala_13_9,mbalambala,6.19935,221,4.627384364918323,311.18658447265625,1.2307552099227903,1.333057522773743,0.37545125,0.3930512499999999,0.42209125,0.49207875,0.43850875,0.33625,0.1332022695358671,0.0358483197073664,0.009308385923828,3.8511853720632816,4.86901330947876,15609.333333333334
1.954509479,7.271098657,2021,wooded_grassland,djidja_7_15,djidja,13.10685,148,2.07639678955084,259.8748779296875,4.834646224975586,-0.9353348016738892,0.2470125,0.3019849999999999,0.3147999999999999,0.43221125,0.4048075000000001,0.32133125,0.183079357670401,0.0702975747900891,0.0117657754869473,5.974750654393774,14.05821132659912,15433.0
1.954509479,7.271098657,2021,wooded_grassland,djidja_7_15,djidja,13.10685,148,2.07639678955084,259.8748779296875,4.834646224975586,-0.9353348016738892,0.74296125,0.7349862500000001,0.7346150000000001,0.76795875,0.43339375,0.364025,0.1761647767207179,0.1233541722506656,0.0343092323349714,3.595363808969005,12.191091537475586,15243.444444444443
1.954509479,7.271098657,2021,wooded_grassland,djidja_7_15,djidja,13.10685,148,2.07639678955084,259.8748779296875,4.834646224975586,-0.9353348016738892,0.1090174999999999,0.18544,0.1976775,0.3862724999999999,0.3831374999999999,0.285485,0.2004797534512065,0.0637192599363016,0.0178510900064309,3.569488468958828,11.78030014038086,15457.790697674418
1.954509479,7.271098657,2021,wooded_grassland,djidja_7_15,djidja,13.10685,148,2.07639678955084,259.8748779296875,4.834646224975586,-0.9353348016738892,0.20767375,0.2625775,0.25018875,0.48787125,0.3151575,0.231915,0.3233692308749825,0.1244216097271362,0.0348858256006265,3.566537629108073,19.30585670471192,15267.566666666668
39.03211351,-0.138115975,2022,shrubland,mbalambala_3_10,mbalambala,5.50155,220,2.7802885155642585,358.11639404296875,1.7623636722564695,1.2852905988693235,0.4714262499999999,0.4866475,0.5239787499999999,0.57347875,0.5293687499999999,0.44070875,0.1004476446541054,0.0432327921211298,0.0039201873601417,11.028246394725118,1.2704476118087769,15820.739130434782
39.03211351,-0.138115975,2022,shrubland,mbalambala_3_10,mbalambala,5.50155,220,2.7802885155642585,358.11639404296875,1.7623636722564695,1.2852905988693235,0.507905,0.52887375,0.55537,0.59154625,0.46859375,0.37391125,0.0954591939456968,0.0301876441777556,0.0044466868980299,6.788794639696722,4.804053783416748,15835.01923076923
39.03211351,-0.138115975,2022,shrubland,mbalambala_3_10,mbalambala,5.50155,220,2.7802885155642585,358.11639404296875,1.7623636722564695,1.2852905988693235,0.3143875,0.3229675,0.3633375,0.4302725,0.42051,0.3135075,0.0981048511690184,0.0326915937484333,0.0034217660482428,9.554011959766088,1.1528559923171997,15770.05357142857
39.03211351,-0.138115975,2022,shrubland,mbalambala_3_10,mbalambala,5.50155,220,2.7802885155642585,358.11639404296875,1.7623636722564695,1.2852905988693235,0.31739875,0.36403875,0.41271375,0.4742862499999999,0.4211837499999999,0.309245,0.1044722684302601,0.028401528154737,0.0026747858324603,10.618243827249838,5.0745134353637695,15745.078947368422
37.68625755,-2.671634571,2022,grassland,mbirikani_9_7,mbirikani,7.5952,1052,1.856350524301442,142.9903564453125,1.098387360572815,-0.3359786570072174,0.0596824999999999,0.1471325,0.17994,0.3218399999999999,0.32998,0.2713775,0.1256432634144873,0.0793448309184009,0.0070774782554105,11.210890101674885,5.306995391845703,15629.545454545454
37.68625755,-2.671634571,2022,grassland,mbirikani_9_7,mbirikani,7.5952,1052,1.856350524301442,142.9903564453125,1.098387360572815,-0.3359786570072174,0.5015937500000001,0.48646875,0.4917075000000001,0.521325,0.36984125,0.2806174999999999,0.0632494509286331,0.0549917357938308,0.0056024530517181,9.815653123048593,10.024174690246582,15782.393617021276
37.68625755,-2.671634571,2022,grassland,mbirikani_9_7,mbirikani,7.5952,1052,1.856350524301442,142.9903564453125,1.098387360572815,-0.3359786570072174,0.0519825,0.1194675,0.142045,0.21685875,0.1801875,0.1538975,0.0991345326964694,0.0588164283327657,0.0074896172725775,7.8530619379064355,4.778328895568848,15789.788888888888
37.68625755,-2.671634571,2022,grassland,mbirikani_9_7,mbirikani,7.5952,1052,1.856350524301442,142.9903564453125,1.098387360572815,-0.3359786570072174,0.22064,0.2451975,0.28895,0.3469475,0.338615,0.26266,0.0702408256880733,0.0434055629983735,0.0065623557037749,6.614326464108687,5.525819301605225,15654.857142857143
35.94505303,-4.751863274,2021,grassland,kondoa_3_6,kondoa,4.1392,1761,7.436035128803452,213.4984741210937,20.875356674194336,-0.5063350796699524,0.33750125,0.3554175,0.3507012499999999,0.4630937499999999,0.3197775,0.2499275,0.2297172699478427,0.1531846802285588,0.018776938103565,8.158128837814871,33.296932220458984,14877.28205128205
35.94505303,-4.751863274,2021,grassland,kondoa_3_6,kondoa,4.1392,1761,7.436035128803452,213.4984741210937,20.875356674194336,-0.5063350796699524,0.6902025,0.6699487500000001,0.680825,0.72932125,0.55922,0.441355,0.1313630473784742,0.0849482653768484,0.0126434916846053,6.718734626153997,8.130878448486328,15078.216216216217
35.94505303,-4.751863274,2021,grassland,kondoa_3_6,kondoa,4.1392,1761,7.436035128803452,213.4984741210937,20.875356674194336,-0.5063350796699524,0.6099300000000001,0.60311,0.6122125,0.6852525,0.437065,0.3332799999999999,0.2638551556635012,0.106006552530363,0.018440890548942,5.748450827199595,18.186532974243164,14919.739130434782
35.94505303,-4.751863274,2021,grassland,kondoa_3_6,kondoa,4.1392,1761,7.436035128803452,213.4984741210937,20.875356674194336,-0.5063350796699524,0.40179625,0.41171,0.42228375,0.5235387499999999,0.43999375,0.33934375,0.1702885069407246,0.0642237211980357,0.0137436813980797,4.672963475929311,2.0423173904418945,15147.5
39.85946188,-5.007613636,2022,cropland,pemba_13_8,pemba,52.8952,8,1.3139550038994536,283.54541015625,3.3029606342315674,-0.606293797492981,0.459835,0.4518049999999999,0.4517224999999999,0.5134325,0.27168,0.19061,0.3306419018224574,0.1684226875429768,0.0387243029981863,4.349276152261929,23.849815368652344,15098.59090909091
39.85946188,-5.007613636,2022,cropland,pemba_13_8,pemba,52.8952,8,1.3139550038994536,283.54541015625,3.3029606342315674,-0.606293797492981,0.5975825000000001,0.5869675000000001,0.6041000000000001,0.6540675,0.32393,0.1991075,0.1567757856045832,0.1534240348393241,0.041843196093306,3.6666423496236775,13.942164421081545,15294.5
39.85946188,-5.007613636,2022,cropland,pemba_13_8,pemba,52.8952,8,1.3139550038994536,283.54541015625,3.3029606342315674,-0.606293797492981,0.1548737499999999,0.19386875,0.19109125,0.3901775,0.2821575,0.18729625,0.2576465419460562,0.1400770622893065,0.0316150247238751,4.430711774314148,19.626325607299805,15136.861111111111
39.85946188,-5.007613636,2022,cropland,pemba_13_8,pemba,52.8952,8,1.3139550038994536,283.54541015625,3.3029606342315674,-0.606293797492981,0.0536875,0.1575825,0.1531825,0.3371025,0.281305,0.2000425,0.2568631228903968,0.1326782139093983,0.0342342471213367,3.875599000005634,11.869064331054688,15149.275
-14.6897456,13.59290264,2021,grassland,changai_3_3,changai,7.1478,47,2.1209089838780457,51.64876174926758,1.4165390729904177,0.8364115953445435,0.0852575,0.14771,0.19378625,0.32259625,0.319255,0.22604375,0.1631558014317691,0.0534719836564937,0.0134588997111922,3.97298329015908,2.653664350509644,15704.04347826087
-14.6897456,13.59290264,2021,grassland,changai_3_3,changai,7.1478,47,2.1209089838780457,51.64876174926758,1.4165390729904177,0.8364115953445435,0.08611,0.157995,0.185715,0.4297775,0.26541,0.224655,0.4168963559621855,0.0961999391846069,0.0235440499696863,4.085955445578283,22.888574600219727,15451.109375
-14.6897456,13.59290264,2021,grassland,changai_3_3,changai,7.1478,47,2.1209089838780457,51.64876174926758,1.4165390729904177,0.8364115953445435,0.5061175,0.49146,0.5030924999999999,0.5462125,0.202545,0.214535,0.1403659540946041,0.0511699057449867,0.0133964355164208,3.819665737372061,2.499440193176269,15700.018018018018
-14.6897456,13.59290264,2021,grassland,changai_3_3,changai,7.1478,47,2.1209089838780457,51.64876174926758,1.4165390729904177,0.8364115953445435,0.1384975,0.1779325,0.2224,0.3408425,0.3215375,0.2321075,0.2268787400957857,0.0803636965242826,0.0170806016434642,4.704968724274023,18.95137405395508,15423.847826086956
34.50217902,2.707477351,2022,bushland,rupa_3_10,rupa,11.42375,1235,1.312173940087656,225.2424774169922,1.4534964561462402,4.409285545349121,0.4962175,0.500205,0.506915,0.5157700000000001,0.2857325,0.3149375,0.0264920277096738,0.0806098554890867,0.018544281477826,4.346884811119498,8.280170440673828,15455.584905660377
34.50217902,2.707477351,2022,bushland,rupa_3_10,rupa,11.42375,1235,1.312173940087656,225.2424774169922,1.4534964561462402,4.409285545349121,0.0411199999999999,0.090235,0.0841575,0.2506425,0.1988599999999999,0.1245824999999999,0.1790459319245856,0.0945981339602827,0.0214085636905117,4.418705305401159,7.570036888122559,15385.21590909091
34.50217902,2.707477351,2022,bushland,rupa_3_10,rupa,11.42375,1235,1.312173940087656,225.2424774169922,1.4534964561462402,4.409285545349121,0.15641375,0.1932637499999999,0.20610625,0.2868325,0.2741,0.20360375,0.1501488849279769,0.102410426110602,0.0151867339147943,6.743413474232123,6.884704113006592,15511.717171717171
34.50217902,2.707477351,2022,bushland,rupa_3_10,rupa,11.42375,1235,1.312173940087656,225.2424774169922,1.4534964561462402,4.409285545349121,0.0521749999999999,0.1175975,0.1242249999999999,0.2542175,0.223665,0.1674824999999999,0.1768287654287051,0.134658804454048,0.0274666022687361,4.902637870404647,7.444220542907715,15350.561643835616
